ui,vi,wi
28.18,-18.68,-5.02
26.8,-19.07,-5.68
24.22,-18.94,-5.83
24.13,-19.91,-5.52
25.76,-20.64,-5.94
25.27,-20,-6.61
27.45,-17.46,-6.09
27.85,-19.63,-6.77
30.63,-21.02,-7.89
33.85,-14.36,-8.39
28.49,-12.99,-8.74
26.98,-12.97,-8.11
28.59,-13.8,-7.41
28.51,-14.66,-7.22
28.58,-13.39,-6.71
27.04,-13.27,-6.64
26.06,-10.66,-5.73
28.61,-17.95,-5.67
29.25,-17.18,-6.48
26.64,-15.1,-6.42
22.77,-10.68,-5.17
21.41,-14.18,-4.02
23.56,-20.99,-3.3
25.37,-21.84,-3.32
24.46,-19.21,-3.31
25.68,-21.84,-4.27
26.12,-19.28,-5.37
26.13,-12.9,-4.89
26.7,-14.55,-4.71
27.44,-14.2,-4.96
26.7,-13.53,-4.71
28.05,-14.93,-4.83
27,-13.12,-4.53
26.08,-16.29,-4.74
26.49,-19.08,-4.98
27.31,-16.97,-4.71
27.18,-17.91,-4.46
27.52,-19.35,-4.72
27.66,-19.95,-4.82
26.84,-20.5,-3.92
25.91,-26.17,-3.26
20.73,-24.81,-1.4
18.96,-22.68,-0.56
19.84,-21.89,0.81
24.8,-25.14,0.06
36.28,-19.82,-2.08
32.79,-16.07,-3.05
29.32,-12.1,-2.73
30.6,-14.11,-2.7
30.71,-13.06,-2.75
31.95,-14.03,-3.08
34.1,-9.87,-2.68
35.36,-7.5,-3.11
35.1,-7.91,-3.58
33.59,-9.37,-4.06
34.47,-7.2,-3.93
33.8,-9.64,-4.45
33.3,-8.85,-4.48
33.54,-8.29,-4.49
33.47,-9.5,-4.68
32.35,-8.99,-4.66
32.21,-12.71,-5.42
32.54,-11.23,-5.53
31.86,-8.62,-4.81
32.96,-12.57,-5.19
31.89,-11.63,-4.92
27.06,-13.45,-4.75
28.45,-17.01,-4.33
28.81,-15.7,-3.71
28.04,-16.33,-3.54
27.98,-15.57,-4.18
27.3,-16.78,-4.13
27.36,-16.77,-3.9
27.52,-16.07,-3.89
28.85,-16.61,-3.94
29.19,-16.32,-3.84
29.12,-15,-3.27
29.25,-16.13,-2.85
28.02,-20.14,-3.23
30.26,-19.32,-2.76
32.63,-15.21,-1.92
32.96,-15.26,-1.68
32.77,-12.96,-1.19
30.07,-14.57,-0.83
31.63,-13.28,-0.08
31.03,-15.17,0.21
28.19,-16.48,0.04
29.68,-16.58,0.24
31.01,-16.62,0.22
31.63,-14.76,0.01
33.53,-14.95,-0.36
34.23,-15.13,-0.49
31.09,-14.06,-0.53
29.44,-13.66,-0.04
29.17,-15.15,0.6
29.05,-13.1,1.74
37.87,-11.03,0.7
41.62,-5.32,-0.8
38.62,-5.27,-2.42
37.33,-6.99,-2.92
35.57,-7.09,-3.52
34.37,-6.55,-3.28
33.52,-6.76,-3.48
32.02,-8.21,-3.32
32.7,-6.17,-2.45
32.11,-7.55,-1.95
32.37,-9.34,-1.99
31.26,-8.33,-1.9
29.47,-7.15,-1.19
32.84,-5.5,-0.57
34.63,-5.97,-0.17
34.99,-7.89,0.19
32.61,-6.82,0.07
36.73,-5.72,0.46
36.42,-10.32,-0.54
36.71,-10.88,-1.29
38.37,-8.54,-2.93
38.69,-8.82,-4.41
37.71,-6.49,-5.65
33.08,-8.36,-5.71
31.13,-7.95,-5.75
30.02,-8.98,-5.67
27.78,-10.13,-5.76
28.33,-11.55,-5.2
27.82,-11.61,-4.82
25.51,-13.47,-4.97
25.9,-12.17,-4.94
23.06,-15.81,-5.49
22.59,-14.13,-5.35
23.54,-16.4,-5.15
24.63,-15.1,-4.98
24.34,-13.4,-4.37
22.49,-12.91,-4.12
24.19,-13.02,-3.08
25.7,-14.43,-2.43
26.64,-11.23,-2.33
26.04,-10.11,-2
25.96,-11.1,-2.19
28.04,-11.39,-2.5
29.4,-6.73,-2.55
29.07,-9.48,-2.75
28.87,-7.54,-2.83
28.85,-7.41,-3.16
29.6,-10.63,-3.56
29.46,-11.17,-3.61
32.06,-9.79,-3.36
33.06,-9.48,-3.93
31.43,-4.94,-4.44
32.36,-5.56,-4.22
34.84,-4.47,-3.66
27.73,-3.11,-2.81
25.32,-9.47,-1.95
30.11,-9.86,-1.58
28.15,-11.77,-0.97
29.01,-12.91,-0.91
25.48,-13.22,-0.02
24.39,-18.02,0.89
29.5,-17.52,0.94
33.3,-17.35,0.22
36.92,-12.98,-1.41
32.17,-9.92,-1.19
32.66,-14.18,-1.62
33.77,-12.43,-1.83
34.26,-15.22,-2.77
32.42,-16.79,-3.88
32.04,-11.91,-3.16
28.95,-15.64,-3.03
31.87,-18.22,-3.17
31.33,-14.2,-2.89
30.11,-14.9,-3.11
29.8,-14.78,-3.29
28.13,-17.34,-3.88
30.99,-16.84,-4.33
31.34,-14.66,-4
29.05,-12.25,-3.08
29.69,-14.02,-3.03
28.13,-14.42,-3.03
28.41,-17.44,-3.47
28.44,-15.99,-3.33
27.39,-16.91,-3.64
27.16,-15.21,-3.72
27.17,-15.89,-4.34
26.41,-17.15,-4.86
26.44,-17.62,-5.42
25.93,-17.28,-5.89
25.73,-17.08,-5.85
23.52,-19.21,-5.05
24.07,-21.41,-4.52
26,-20.2,-3.84
26.54,-16.95,-2.53
30.99,-15.5,-1.64
30.04,-12.53,-1.19
31.27,-13.85,-1.51
31.66,-9.59,-1.04
35.27,-5.16,-1.31
34.82,1.4,-1.33
35.36,0.26,-2.27
32.68,3.7,-1.56
26.63,4.84,-0.71
24.82,-16.6,-1.79
25.79,-17.76,-2.98
25.53,-12.8,-3.16
27.47,-11.06,-2.83
25.8,-12.38,-5.11
26.98,-13.61,-6.51
26.91,-12.85,-7.74
25.67,-11.35,-8.26
24.76,-12.88,-8.7
24.91,-14.84,-8.41
24.38,-13.8,-6.93
24.48,-23.27,-6.97
23.05,-23.42,-7.15
25.72,-18.23,-6.14
27.54,-18.2,-5.86
27.52,-17.15,-5.02
28.38,-19.53,-5.01
32.69,-17.8,-5.58
29.72,-14.9,-5.1
26.53,-20.11,-4.85
26.78,-23.49,-4.72
27.57,-20.39,-3.76
28.53,-21.01,-2.79
26.36,-23.08,-2.91
29.25,-20.9,-2.89
32.02,-17.1,-2.53
32.02,-18.28,-3.42
31.53,-16.22,-3.64
31.83,-14.07,-3.41
31.51,-16.19,-4.28
30.26,-14.55,-4.49
28.75,-15.16,-4.69
27.86,-15.75,-4.73
28.7,-12.8,-4.29
30.96,-13.62,-4.61
32.22,-12.54,-4.99
32.34,-9,-4.9
31.68,-11.41,-5.54
30.22,-11.81,-5.54
27.81,-12.19,-5.34
27.89,-12.52,-5.09
28.09,-11.51,-5.36
28.42,-9.49,-4.76
30.3,-7.08,-4.52
32.22,-8.22,-4.11
33.9,-7.12,-4.1
33.24,-7.64,-4.05
32.07,-9.74,-3.9
33.3,-10.02,-3.56
32.51,-8.98,-3.51
33.53,-7.89,-3.79
33.12,-8.94,-4.07
33.06,-6.63,-4.02
32.72,-5.88,-4.2
31.71,-6.53,-4.24
32.02,-7.79,-4.08
30.41,-6.11,-3.03
29.82,-9.61,-2.4
26.4,-14.02,-1.86
24.16,-17.28,-1.4
24.55,-18.5,-1.55
22.59,-19.47,-1.99
25.39,-16.29,-1.52
24.36,-14.05,-1.59
26.4,-17.84,-1.97
26.75,-15.99,-1.86
30.93,-17.13,-3.18
30.34,-14.19,-3.5
28.38,-12.81,-3.3
26.04,-14.51,-3.65
26.01,-12.83,-3.49
29.74,-9.47,-3.66
31.36,-7.24,-4.21
30.52,-5.29,-4.39
28.53,-7.01,-4.49
28.91,-9.53,-4.59
27.18,-10.86,-4.69
26.19,-11.93,-5.06
24.73,-15.45,-4.96
24.44,-13.61,-4.96
23.54,-15.03,-4.9
25.86,-13.53,-5.09
23.68,-11.37,-5.04
23.85,-13.9,-5.38
24.54,-13.14,-5.15
25.39,-14.54,-4.79
27.56,-13.7,-4.96
28.23,-10.7,-4.7
27.77,-8.08,-4.19
28.37,-11.07,-3.85
27.53,-9.41,-3.73
25.53,-9.87,-3.34
25.66,-12.47,-3.54
26.39,-13.09,-4.07
25.8,-11.55,-4.4
25.71,-11.85,-4.06
26.15,-12.97,-4.18
29.86,-10.67,-4.11
31.02,-7.86,-3.84
30.92,-9.38,-3.7
29.75,-13.05,-4
27.5,-14.64,-4.08
26.85,-14.06,-4.2
27.94,-15.54,-4.41
29.32,-13.53,-4.5
27.76,-12.3,-4.62
26.15,-15.88,-5.19
25.6,-14.41,-4.57
29.61,-12.76,-3.82
29.59,-13.08,-3.92
30.28,-14.48,-4.37
29.21,-12.51,-4.65
29.49,-13.5,-4.74
32.26,-12.84,-4.93
32.87,-11.16,-5.77
29.67,-13.13,-6.78
28.73,-13.85,-6.69
28.2,-15.45,-5.92
27.83,-15.61,-5
27.62,-13.48,-3.94
28.73,-14.87,-3.23
30.71,-14.99,-3.43
30.19,-15.45,-4.3
29.57,-14.44,-4.71
28.67,-14.02,-4.66
28.12,-15.31,-5.11
29.51,-16.75,-5.69
29.84,-13.98,-5.99
29.26,-12.78,-6.83
29.3,-9.77,-6.98
28.84,-10.69,-7.83
28.59,-11.91,-8.43
27.98,-9.56,-8.71
26.11,-7.14,-7.81
23.4,-10.82,-6.94
24.14,-16.44,-7.06
23.73,-16.64,-6.97
22.85,-15.53,-6.85
21.51,-18.29,-7.45
21.26,-19.97,-8.44
22.32,-17.12,-8.24
23.39,-18.61,-8.28
24.84,-18.72,-7.93
24.68,-17.47,-7.78
25.35,-17.89,-7.61
26.7,-14.25,-6.56
25.67,-17.53,-6.65
26.08,-17.72,-5.63
26.25,-15.66,-5.12
27.73,-15.58,-4.28
26.49,-17.68,-4.25
26.51,-18.43,-3.9
26.95,-18.24,-3.54
27.3,-18.37,-3.06
29.05,-18.57,-2.7
27.45,-15.45,-2.01
26.04,-15.43,-1.3
25.16,-16.82,-0.63
24.97,-14.68,-0.22
26.64,-13.49,-0.23
29.4,-11.65,-0.27
30.37,-11.31,-0.61
31.28,-9.87,-0.9
32.36,-9.28,-1.27
31.69,-9.63,-1.81
31.52,-9.46,-2
33.41,-7.52,-2.43
33.63,-6.93,-3.05
31.3,-9.08,-3.92
30.7,-7.97,-3.76
27.68,-11.8,-3.95
28,-12.25,-3.43
31.07,-8.84,-3.16
29.58,-6.52,-2.7
31.95,-7.75,-2.8
32.58,-6.46,-3.16
32.54,-7.19,-3.12
33.57,-6.41,-3.05
33.18,-6.18,-3.4
33.77,-6.05,-3.12
33.49,-6.83,-3.17
31.71,-6.39,-3.22
32.06,-8.26,-3.44
32.43,-5.89,-3.65
32.08,-5.91,-4.19
30.07,-9.96,-4.23
27.44,-11.89,-3.24
25.15,-12.1,-2.78
28.36,-8.72,-2.27
29.22,-11.51,-2.42
30.46,-12.15,-2.68
30.08,-11.07,-2.91
29.3,-14.39,-3.53
28.19,-11.14,-3.51
29.42,-15.53,-3.79
31.53,-16.86,-4.22
32.19,-9.11,-3.7
29.74,-9.92,-3.57
28.02,-12.6,-2.48
29.64,-13.83,-1.71
30.1,-10.19,-1.73
29.05,-12.51,-1.88
30.41,-10.59,-2.12
31.5,-5.89,-3.13
30.82,-4.33,-3.62
32.15,-7.58,-3.8
32,-5.68,-3.46
30.65,-4.83,-3.59
29.01,-6.73,-3.99
29.65,-10.25,-3.93
31.61,-8.2,-3.62
30.56,-4.55,-3.46
32.64,-4.01,-3.62
33.2,-4.51,-3.38
34.78,-3.12,-2.99
35.27,-2.61,-3.24
35.86,-4.12,-3.75
35.65,-1.89,-4.21
36.78,1.39,-4.11
37.12,-0.11,-4.78
34.91,-2.86,-5.03
32.12,-6.13,-5.21
30.94,-10.25,-4.74
30.22,-14.02,-4.69
29.35,-14.23,-4.9
29.02,-14.8,-4.94
27.85,-15.77,-5.06
28.04,-14.06,-5.28
28.87,-12.04,-5.46
30.5,-9.66,-5.29
31.15,-12.14,-5.21
30.4,-9.98,-5.25
29.25,-10.59,-5.3
29.4,-9.76,-5.26
30.85,-10.63,-5.28
30.56,-8.37,-5.21
31.06,-9.86,-5.47
32.04,-8.25,-5.72
32.27,-8.67,-5.18
29.69,-10.45,-4.63
27.97,-13.74,-4.79
27.87,-14.07,-4.37
28.98,-11.89,-4.15
30.24,-8.6,-3.51
28.7,-10.33,-3.48
30.85,-11.1,-3.58
31.63,-10.62,-3.32
31.1,-10.33,-2.79
30.54,-13.26,-3.47
29.31,-14.46,-3.9
29.93,-13.1,-3.77
31.72,-11.9,-3.91
32.33,-10.76,-4.56
31.95,-11.1,-5.05
29.91,-12.04,-4.78
30.3,-13.96,-4.66
31.9,-11.76,-4.64
30.59,-10.36,-4.68
28.89,-9.98,-4.67
30.21,-12.32,-4.18
30.37,-9.45,-4.14
31.97,-8.47,-3.65
32.46,-10.15,-3.1
32.29,-12.59,-2.77
30.9,-12.69,-2.84
30.37,-12.04,-2.46
30.97,-13.11,-2.42
29.85,-10.14,-2.19
30.19,-9.41,-2.29
29.03,-11.24,-2.22
29.38,-10.07,-1.62
30.79,-11.68,-1.67
30.66,-12.15,-1.98
31.97,-10.29,-2.13
33.31,-10.76,-2.46
34.72,-6.26,-2.09
32.98,-8.35,-1.36
32.87,-8.93,-1.9
31.92,-7.09,-2.17
31.26,-8.43,-2.64
29.85,-11.02,-2.86
28.74,-10.09,-2.78
28.1,-12.12,-2.4
27.65,-16.65,-2.77
29.47,-16.71,-2.12
27.14,-14.52,-0.93
31.72,-14,-0.15
36.03,-14.19,-1.18
34.89,-12.68,-2.25
35.06,-10.46,-2.99
36.11,-11.23,-3.72
36.24,-10.8,-4.11
32.93,-9.25,-3.97
30.2,-12.21,-3.87
28.53,-12.8,-3.78
30.24,-10.25,-3.84
32.57,-8.03,-3.67
33.64,-7.23,-3.46
35.41,-5.7,-3.52
33.98,-8.8,-4.51
32.94,-8.78,-5.25
30.01,-8.35,-5.8
29.59,-9.14,-5.93
33.01,-8.39,-5.68
35.87,-5.75,-6.13
33.7,-6.61,-6.98
33.68,-8.63,-8.04
32.98,-9.28,-8.41
28.6,-13.27,-8.81
24.68,-11.06,-7.97
25.63,-15.1,-7.45
26.21,-18.88,-7.53
27.28,-11.96,-6.6
30.79,-15.36,-6.76
30.78,-15.24,-6.67
30.42,-11.47,-6.14
30.82,-12.99,-5.83
31.78,-14.33,-6.35
31.99,-11.65,-6.36
32.03,-11.87,-6.36
32.6,-11.54,-6.52
32.39,-11.77,-6.27
32.13,-13.39,-6.17
32.81,-13.88,-6.31
31.19,-12.92,-5.89
31.2,-12.81,-6.17
31.6,-9.63,-5.71
30.42,-11.54,-5.3
30,-11.83,-5.54
29.22,-12.52,-5.85
29.39,-11.81,-5.71
31.26,-10.62,-5.58
33.47,-8.46,-5.62
31.66,-7.8,-5.84
31.74,-3.62,-5.42
32.76,-3.19,-5.06
30.77,-7.07,-4.52
31.26,-6.37,-4.64
30.4,-6.14,-4.65
30.43,-9.6,-4.16
32.38,-9.93,-3.34
29.86,-11.87,-3.48
28.71,-13.3,-3.92
29.76,-14.46,-3.66
29.85,-12.39,-3.05
31.4,-12.58,-3.04
30.9,-12.63,-2.89
30.83,-8.86,-1.55
27.94,-13.68,-0.64
24.76,-23.21,-1.81
27.05,-23.55,-2.35
29.08,-18.56,-2.35
32.66,-12.99,-1.68
32.88,-11.22,-1.49
31.23,-15.22,-2.21
32.86,-15.01,-2.29
34.57,-7.8,-1.44
32.07,-13.47,-1.87
33.66,-12.67,-2.48
31.59,-12.58,-2.64
30.75,-15.42,-2.73
30.79,-15.43,-3.41
31.48,-16.16,-3.77
31.51,-12.82,-3.7
30.71,-10.5,-3.29
26.63,-11.09,-2.51
26.03,-15.1,-2.66
26.04,-16.37,-2.24
27.14,-17.02,-1.76
29.2,-15.76,-1.68
30.34,-14.63,-1.66
31.16,-12.8,-1.79
30.66,-11.94,-1.97
29.19,-10.78,-1.81
30.14,-12.68,-2
29.72,-10.51,-1.73
28.94,-11.01,-1.44
28.43,-12.94,-1.79
26.67,-11.02,-1.72
25.95,-11.32,-1.5
26.23,-12.06,-0.61
26.04,-14.73,-0.4
24.61,-16.96,-0.39
25.3,-18.41,-0.85
27.21,-19.6,-1.35
29.23,-17.86,-1.74
30.6,-15.42,-1.89
30.44,-12.1,-1.83
30.67,-14.05,-1.55
29.83,-11.01,-1.12
27.43,-15.15,-1.15
27.55,-14.25,-1.02
27.73,-16.14,-0.97
28.55,-14.28,-0.21
27.89,-13.8,0.01
25.85,-10.96,0.5
25.24,-15.9,0.53
25.09,-15.82,0.57
24.74,-13.95,0.95
25.27,-14.14,1.01
24.82,-14.36,0.96
24.29,-15.85,0.79
23.5,-16.05,0.5
25.06,-16.85,0.08
26.7,-14.63,-0.51
28.14,-9.86,-0.5
28.53,-10.35,-0.7
28.27,-11.39,-1.12
27.51,-10.51,-1.06
26.68,-10.21,-1.21
25.55,-12.45,-1.58
22.48,-15.1,-1.03
22.14,-14.9,-0.23
23.43,-17.93,0.78
26.15,-19.45,1.29
27.05,-22.5,1.27
28.26,-17.74,1.86
32.41,-13.75,1.72
33.81,-10.74,1.42
33.44,-9.96,0.89
30.3,-12.57,0.7
27.8,-15.14,0.64
26.45,-15.88,1.25
25.17,-21.22,0.89
28.66,-13.65,1.73
30.8,-13.67,2.32
33.53,-11.39,2.18
33.89,-7.49,2.24
25.92,-16.3,3.08
24.74,-24.81,2.6
23.03,-18.04,3
29.83,-11.97,4.32
32.66,-11.07,4.41
34.3,-10.07,3.67
37.49,-7.32,2.23
37.38,-5.89,1.68
34.78,-9.46,1.48
34.58,-11.51,0.95
35.72,-9.17,-0.09
33.96,-7.45,-1.47
32.54,-4.24,-1.5
34.13,-6.08,-1.38
31.1,-8.65,-2.64
29.47,-7.68,-2.99
32.1,-4.24,-2.44
31.88,-1.31,-1.85
30.53,-5.01,-1.5
28.78,-5.22,-1.69
31.48,-7.06,-3.1
34.11,-3.08,-4.02
34.79,-1.5,-5.14
31.95,-3.3,-6.2
29.37,-5.75,-6.66
