ui,vi,wi
21.12,-13.52,-14.03
21.36,-14.74,-15.18
17.65,-12.34,-15.64
18.38,-13.4,-16.23
20.96,-13.32,-16.65
17.68,-13.12,-17.14
13.75,-13.73,-16.75
18.08,-11.44,-16.21
18.55,-11.72,-15.42
23.66,-12.84,-13.98
24.85,-12.07,-12.61
31.3,-17.1,-11.89
27.23,-8.34,-11.35
13.79,-13.78,-11.57
17.18,-16.8,-10.96
19.07,-23.13,-12.47
17.67,-21.21,-14
22.93,-16.52,-14.21
20.97,-12.95,-12.89
24.79,-13.35,-13.56
22.68,-11.57,-13.56
21.2,-13.62,-11.85
17.02,-16.42,-11.62
20.49,-13.54,-10.09
23.04,-19.46,-11.03
20.09,-19.61,-10.98
15.41,-19.91,-10.23
21.49,-19.35,-9.32
14.56,-16.74,-9.36
14.13,-17.05,-7.06
15.87,-12.21,-5.03
14.52,-18.1,-4.38
17.3,-29.19,-6.61
16.75,-22.53,-7.47
11.06,-26.54,-7
12.58,-24.86,-6.37
14.64,-28.76,-5
23.94,-27.8,-4.08
29.9,-21.18,-4.16
28.94,-21.17,-5.59
20.79,-24.09,-6.11
16.59,-26.57,-6.67
17.09,-23.25,-6.35
17.7,-31.57,-7.81
18.48,-25.74,-7.74
25.67,-26.89,-8
26.66,-20.55,-7.94
23.77,-21.83,-8.4
19.2,-21.41,-8.87
14.79,-18.28,-6.53
14.08,-28.77,-6.74
18.29,-27.55,-7.38
21.81,-21.98,-7.25
22.25,-21.89,-7.36
23.87,-19.7,-6.77
18.85,-22.06,-7.4
18.82,-23.94,-7.87
23.02,-25.25,-8.7
26.86,-18.66,-8.79
21.14,-15.46,-9.23
19.14,-18.91,-8.86
20.39,-18.76,-8.77
22.28,-16.14,-8.48
25.38,-14.69,-8.76
25.69,-11.78,-9.03
27.08,-8.3,-9.33
28,-8.69,-9.78
28.47,-8.12,-10.13
28.97,-5.49,-9.72
28.1,-3.55,-9.3
26.55,-5.32,-8.73
25.39,-7.66,-8.91
24.97,-11.92,-9.5
24.48,-11.05,-9.7
24.93,-11.45,-9.57
24.32,-13.78,-9.9
24.04,-14.89,-10.85
25.7,-12.38,-11.27
25.91,-12.79,-11.28
26.14,-14.89,-11.43
25.05,-14.73,-11.57
25.43,-14.44,-11.47
26.11,-13.24,-10.97
27.21,-9.74,-10.7
30.08,-6.91,-9.67
29.94,-9.03,-9.34
29.36,-9.23,-8.67
27.05,-10.35,-7.3
21.98,-18.35,-7.21
24,-20.92,-7.47
27.21,-21.15,-8.83
27.77,-12.52,-8.19
26.55,-11.69,-7.34
26.22,-15.42,-7.57
22.63,-14.98,-7.37
23.2,-17.92,-7.59
26.56,-17.9,-8.4
29.03,-13.89,-8.54
29.82,-10.65,-8.43
28.62,-11.83,-8.45
26.64,-13.96,-8.77
24.69,-15.49,-8.91
26.96,-16.6,-8.92
27.38,-13.86,-8.82
28.07,-12.2,-8.52
27.87,-10.84,-7.41
21.4,-18.01,-6.84
22.67,-22.98,-7.76
24.88,-21.05,-8.44
30.5,-12.85,-6.86
29.45,-11.19,-7.34
29.27,-13.35,-7.28
29.02,-14.79,-8.01
30.46,-14.65,-8.27
29.59,-15.52,-8.12
26.86,-15.78,-8.06
22.37,-19.01,-8.37
17.82,-19.88,-8.31
19.28,-24.34,-7.74
22.63,-21.89,-6.7
21.17,-21.11,-6.97
20.86,-21.57,-6.6
22.73,-17.53,-5.05
20.76,-20.6,-4.99
20.41,-25.99,-6.95
23.29,-22.55,-7.92
26.33,-21.73,-8.82
25.81,-13.24,-8.91
28.66,-13.68,-8.3
30.54,-7.53,-8.09
25.26,-9.46,-7.58
21.86,-9.56,-6.67
18.26,-15.33,-6.21
19.65,-15.21,-6.7
17.81,-18.15,-7.72
19.67,-20.84,-7.25
19.82,-20.48,-6.44
14.43,-24.74,-6.94
5.64,-27.83,-6.56
9.29,-26.41,-7.1
7.58,-26.87,-8.74
7.82,-21.12,-9.09
8.18,-30.35,-8.16
11.76,-29.99,-7.74
13.96,-27.47,-6.81
16.82,-25.96,-6.23
19.9,-28.34,-7.23
20.27,-21.71,-7.25
18.1,-24.33,-6.58
12.89,-24.42,-6.64
10.59,-21.02,-5.39
17.24,-32.77,-6.35
9.93,-19.88,-3.86
10.3,-26.31,-3.09
15.03,-31.82,-3.37
16.06,-26.71,-3.4
20.46,-23.24,-3.16
22.35,-20.32,-3.31
21.44,-20.07,-3.55
26,-16.65,-2.74
28.18,-15.77,-2.58
29.81,-17.34,-3.05
30.65,-12.33,-3.42
31.51,-9.45,-2.54
26.45,-13.67,-1.57
23.42,-16.14,-1.55
21.51,-13.04,-0.44
24.14,-19.09,-0.82
25.99,-21.52,-1.7
25.94,-14.36,-2.01
28.09,-18.69,-2.11
33.08,-22.85,-3.04
35.25,-9.05,-3.03
35.33,-4.26,-3.54
33.3,-4.65,-3.43
29.69,-5.58,-2.19
23.32,-11.38,-1.54
23.96,-18.74,-0.9
23.91,-17.44,-2.1
21.17,-14.53,-2.83
18.44,-22.48,-4.49
16.3,-15.96,-4.36
14.77,-18.08,-3.81
14.64,-23.1,-3.97
13.43,-20.73,-4.16
17.48,-19.82,-4.65
24.48,-14.78,-5.71
26.91,-9.99,-5.15
27.56,-8.56,-4.97
25.91,-7.63,-4.2
27.38,-10.36,-3.95
27.88,-9.03,-3.68
27.92,-11.16,-3.74
21.62,-8.18,-2.06
19.43,-13.18,-1.95
19.49,-18.43,-1.97
23.34,-19,-3.27
16.31,-15.79,-3.17
14.1,-18.56,-2.97
13.17,-21.79,-3.55
14.74,-19.54,-4.23
13.23,-19.35,-4.56
15.07,-22.77,-4.59
16.86,-21.48,-4.58
16.53,-18.52,-4.37
14.5,-19.43,-3.4
16.99,-23.98,-3.26
19.22,-20.29,-1.83
23.44,-24.41,-1.58
21.86,-18.29,-0.94
16.05,-23.13,-0.6
8.79,-31.82,-1.64
6.47,-29.03,-1.32
14.62,-33.57,-2.36
15.93,-26.35,-1.2
15.96,-27.82,-1.93
19.02,-28.99,-3.22
22.88,-25.06,-4.91
33.18,-10.37,-4.12
31.82,-6.53,-3.67
29.02,-9.51,-3.37
31.55,-8.65,-2.51
30.94,-10.09,-2.18
24.84,-16.88,-2.46
24.87,-18.97,-2.08
28.15,-21.38,-0.92
20.87,-24.75,1.47
22.04,-29.44,1.32
33.49,-43.09,-3.12
34.28,-14.83,-3.59
27.82,-13.88,-2.02
20.87,-24.22,-0.33
22.45,-7,0.42
20.11,-32.28,-1.24
16.84,-22.4,-2.07
16.84,-29.82,-4.12
19.42,-22.4,-4.49
19.9,-22.21,-4.8
13.96,-22.31,-4.67
6.22,-27.82,-3.82
0.86,-25.88,-3
8.03,-31.82,-3.9
7.46,-27.51,-5.06
7.91,-30.71,-7.23
11.78,-25.71,-8.43
12.71,-18.36,-8.26
17.03,-24.15,-9.35
16.32,-19.9,-9.61
15.52,-19.76,-9.1
13.09,-17.52,-6.85
14.02,-17.71,-6.22
15.39,-23.69,-5.35
17.47,-23.88,-4.67
19.94,-20.08,-4.09
21.97,-19.04,-3.77
21.29,-20.22,-4.67
17.77,-20.04,-4.8
12.2,-21.22,-3.45
14.01,-20.64,-2.36
15.7,-15.38,-1.56
18.9,-21.85,-1.66
15.26,-28.81,-2.03
15.73,-26.79,-1.97
20.1,-21.87,-1.38
19.22,-22.92,-0.97
23.49,-21.83,-1.33
25.28,-23.28,-2.23
26.62,-19.82,-1.99
28.78,-24.5,-3.09
31.01,-13.96,-1.91
30.71,-14.05,-2.72
29.78,-12.32,-3.05
26.31,-13.25,-3.66
22.6,-15.52,-3.73
18.08,-15.16,-2.62
22.87,-20.04,-3.06
27.02,-16.41,-4.04
28.55,-2.6,-2.44
25.88,-8.91,-1.64
31.11,-14.72,-1.73
33.98,-14.17,-2.17
29.96,-4.11,-1.98
22.45,-12.47,-3.02
22.06,-22.35,-3.58
27.18,-19.64,-4.25
27.89,-18.78,-5.45
27.41,-14.69,-6.67
27.71,-15,-7.63
25.17,-10.9,-6.7
27.53,-13.5,-6.48
29.23,-10.51,-6.89
25.84,-13.29,-7.55
27.48,-9.79,-7.19
29.12,-7.31,-6.38
32.26,-4.94,-6.1
28.24,-3.7,-6.43
27.99,-9.65,-6.99
25.64,-4.61,-5.75
21.93,-10.33,-5.87
20.71,-13.81,-6.14
20.55,-10.55,-5.41
23.32,-10.83,-4.49
24.22,-14.94,-4.55
22.64,-14.7,-5.18
24.7,-16.03,-5.74
24.49,-15.96,-6.56
23.81,-16.41,-7.3
23.38,-18.37,-8.02
21.74,-18.01,-8.34
22.44,-16.33,-8
21.78,-16.37,-7.97
19.45,-16.91,-7.81
17.91,-16.06,-7.69
19.35,-19.49,-7.91
18.97,-17.02,-8.2
20.68,-16.67,-8.42
16.86,-18.72,-8.37
16.46,-21.51,-7.94
16.68,-20.07,-7.84
17.1,-21.46,-7.97
18.95,-19.45,-7.66
17.74,-19.03,-7.29
16.59,-21.01,-7.95
15.93,-18.36,-8.12
19.81,-18.76,-8.69
21.54,-16.76,-9.25
22.84,-13.79,-9.72
21.05,-13.49,-10.5
19.3,-13.6,-11
18.74,-13.32,-10.79
17.64,-14.62,-10.86
17.85,-16.91,-11.35
18.45,-18.23,-12.12
6.93,-21.34,-9.8
4.09,-31.8,-9.29
10.41,-29.9,-10.39
9.06,-26.38,-10.55
8.35,-29.69,-9.47
10.27,-37.39,-10.46
11.24,-29.84,-10.56
12,-18.31,-10.74
13.25,-20.33,-11.37
13,-13.44,-9.81
9.18,-17.64,-9.35
5.63,-18.17,-8.02
4.23,-25.26,-6.93
1.48,-27.24,-6.49
4.23,-30.67,-6.54
13.98,-23.21,-5.97
17.23,-17.99,-6.08
21.1,-13.65,-6.22
16.49,-10.32,-6.04
13.42,-15.23,-6.51
7.33,-20.72,-7.41
10.55,-21.11,-9.04
12.33,-21.46,-10.8
9.71,-18.63,-11.13
9.87,-18.46,-9.87
12.56,-17.61,-9.13
13.91,-19.37,-9.65
14.24,-13.1,-9.04
15.2,-17.38,-8.92
15.65,-17.13,-8.31
10.66,-25.38,-9.73
13.9,-23.43,-11.05
10.42,-19.98,-10.04
10.13,-29.99,-10.64
13.84,-31.1,-11.15
12.81,-33.49,-12.84
13.68,-28.7,-12.7
12.8,-27.98,-12.41
11.84,-26.64,-12.59
11.15,-28.11,-13.08
9.96,-26.63,-12.27
13.27,-27.83,-11.33
17.08,-27.47,-12.33
14.08,-22.9,-13.01
13.89,-20.37,-12.46
15.3,-18.36,-10.37
17.79,-21.4,-10.13
19.17,-23.11,-10.74
19.07,-19.71,-10.57
18.75,-17.8,-9.76
18.21,-19.78,-9.79
17.85,-18.49,-9.87
17.63,-19.41,-9.46
21.67,-19.51,-9.4
24.92,-17.58,-9.44
25.96,-13.5,-9.14
25.87,-8.42,-8.14
25.6,-8.83,-7.24
23.71,-11.81,-7.05
18.73,-14.63,-7.22
17.99,-17.31,-8.07
19,-16.25,-9.08
17.43,-17.28,-9.57
15.73,-17.19,-9.1
15.48,-21.17,-9.72
14.96,-22.93,-10.29
13.12,-22.65,-10.23
11.7,-23.02,-10.55
11.67,-22.95,-10.78
11.69,-25.49,-11.06
9.58,-25.57,-10.78
8.85,-27.09,-11.25
8.1,-28.94,-11.38
10.36,-28.75,-10.88
12.23,-26.38,-10.31
13.86,-33.25,-11.14
13.89,-26.04,-11.77
9.69,-24.48,-12.18
2.59,-31.04,-12.69
0.9,-28.87,-10.9
1.11,-34.35,-11.91
5.75,-28.4,-11.6
6.56,-30.86,-12.36
10.44,-23.34,-13.03
15.17,-25.94,-14.57
19.33,-20.74,-16.28
19.83,-10.46,-16.2
16.36,-13.7,-15.89
13.84,-15.53,-16.51
12.67,-17.63,-16.77
12.88,-18.99,-16.83
14.77,-20.4,-17.05
15.55,-16.56,-17.09
17.82,-13.31,-16.83
19.46,-14.1,-16.71
22.07,-11.36,-16.65
21.67,-10.24,-16.48
20.86,-14.37,-15.81
19.43,-13.73,-15.18
19.95,-15.11,-15.35
18.35,-17.98,-15.68
20.74,-20.04,-15.23
23.72,-19.67,-15.4
24.69,-11.06,-14.64
23.96,-12.82,-14.29
24.06,-11.17,-13.15
23.43,-9.99,-12.33
21.24,-14.44,-11.88
21.51,-15.35,-12.23
23.42,-17.83,-12.99
24.6,-14.01,-13.34
20.28,-10.9,-13.29
13.32,-19.76,-15.39
10.37,-21.72,-15.75
10.98,-24.45,-13.91
13.26,-18.87,-14.57
17.08,-13.42,-14.29
25.32,-16.88,-14.48
29.24,-6.05,-15.51
28.59,-3.54,-15.03
28.98,-4.06,-15.03
28.67,-3.05,-15.43
25.87,-0.99,-15.4
24.84,-6.55,-15.81
24.98,-7.37,-15.93
26.32,-9.73,-15.36
27.42,-9.43,-13.05
32.92,-3.66,-11.45
35,-1.52,-11.63
33.61,1.93,-11.03
33.26,0.85,-10.39
31.67,-0.72,-9.67
27.94,-3.99,-9.46
25.32,-9.65,-10.04
26.3,-10.14,-9.93
24.48,-11.91,-10.34
25.02,-9.47,-10.39
25.67,-10.1,-10.91
25.1,-14.6,-12.12
23.95,-11.43,-11.89
24.27,-14.76,-11.86
23.44,-12.14,-12.23
23.79,-12.31,-12.53
24.09,-11.22,-12.55
24.7,-10.88,-12.53
24.02,-12.89,-12.99
23.75,-7.35,-12.52
26.57,-8.33,-13.12
21.98,-11.25,-12.92
19.9,-13.55,-13.49
19.83,-10.15,-13.23
21.21,-14.71,-13.25
19.86,-15.79,-14.09
22.95,-15.69,-14.16
26.07,-12.97,-13.9
28.93,-10.22,-13.55
26.4,-10.49,-13.43
27.13,-12.01,-13.85
24.63,-13.48,-13.84
23.11,-11.56,-13.85
22.82,-13.67,-14.43
24.84,-12.46,-15.14
27.57,-13.18,-14.99
28.04,-8.33,-14.99
28.96,-8.83,-16.51
28.71,-3.07,-17.14
26.61,1.21,-16.66
26.49,-0.59,-17.18
22.63,-3.04,-17.03
22.49,-11.52,-18.15
24.61,-8.91,-17.45
19.5,-9.55,-15.74
17.79,-16.89,-15.68
19.05,-14.83,-16.96
17.48,-9.18,-16.31
21.95,-15.63,-16.59
21.16,-11.95,-15.91
21.55,-14.65,-15.54
19.66,-15.14,-15.57
19.32,-19.38,-15.86
21.73,-21.24,-17.55
21.6,-13.1,-17.75
23.62,-15.74,-18.04
21.56,-15.33,-17.65
22.95,-12.79,-17.49
19.74,-11.01,-17.3
17.51,-12.63,-16.48
19.34,-14.93,-15.61
18.47,-17.11,-15.61
13.93,-14.32,-15.18
11.71,-16.5,-15.25
13.28,-16.91,-15.3
17.67,-19.27,-15.69
15.75,-18.24,-15.37
11.24,-20.81,-15.14
15.22,-23.13,-15.1
14.83,-13.48,-14.98
18.99,-17.05,-15.85
14.14,-17.53,-14.79
12.35,-29.05,-15.46
12.54,-21.61,-15.47
17.71,-13.58,-15.58
17.1,-10.93,-14.94
22.31,-17.94,-16.64
21.23,-11.45,-17.44
24.38,-7.39,-16.78
17.9,-8.27,-14.71
17.75,-6.16,-13.09
19.4,-8.15,-11.08
24,-12.04,-11.58
25.02,-14.77,-13.36
27.85,-4.33,-13.31
22.99,0.18,-12.29
19.8,-5.56,-11.96
22.51,-13.47,-12.86
24.59,-6.36,-12.22
25.88,-4.95,-12.28
26.87,-2.98,-12.16
26.31,-1.74,-12.06
27.2,-1.86,-11.77
25.9,-1.23,-11.43
24.8,-4.37,-11.66
25.59,-8.67,-12.11
23.58,-10.77,-12.95
21.22,-4.31,-12.76
18.82,-4.21,-12.82
19.4,-9.75,-13.8
20.57,-6.54,-12.96
19.74,-4.26,-12.18
17.83,-11.66,-12.41
21.22,-11.59,-12.74
24.54,-9.25,-13.91
23.77,-7.52,-13.26
19.43,-7.42,-13.65
16.47,-6.39,-12.83
15.31,-13.58,-12.04
14.46,-10.29,-10.79
11.08,-14.33,-9.51
12.33,-18.53,-8.5
16.04,-22.77,-10.44
18.35,-20.64,-11.28
18.57,-16.98,-11.46
17.1,-17.32,-10.69
18.94,-17.15,-11.03
17.63,-15.04,-10.36
16.31,-18.01,-10.99
14.59,-16.69,-11.83
10.58,-22.46,-11.5
13.2,-24.67,-11.15
21.65,-14.58,-10.21
19.24,-11.9,-10.6
15.85,-10.17,-9.16
7.79,-16.67,-9.64
5.46,-15.7,-10.84
18.59,-19.92,-15.41
18.07,-5.13,-12.5
13.18,-8.05,-10.28
15.12,-20.53,-11.84
14.99,-22.77,-14.13
13.12,-11.57,-12.49
16.9,-18.31,-12.4
21.6,-18.41,-13.28
18.66,-14.5,-12.83
18.5,-17.23,-13.69
16.92,-8.48,-13.42
22.15,-17.33,-13.98
14.47,-12.51,-11.73
12.75,-27.21,-14.79
10.99,-25.75,-17.81
11.39,-16.28,-17.04
10.1,-18.37,-17.19
7.21,-22.48,-17.49
7.05,-22.17,-16.88
8.39,-28,-16.32
13.87,-25.89,-15.96
11.52,-18.28,-14.82
13.09,-20.12,-14.68
15.02,-20.6,-14.85
13.74,-18.84,-13.57
15.77,-20.75,-12.66
15.85,-21.84,-12.13
15.85,-21.32,-12.75
13.11,-23.09,-13.89
19.14,-15.13,-12.91
21.43,-15.35,-13
19.72,-17.93,-13.85
19.15,-15,-13.9
13,-14.36,-13.21
8.55,-20.7,-14.74
5.53,-22.96,-14.95
3.13,-20.92,-14.6
5.16,-22.41,-11.94
5.54,-30.83,-13.45
6.59,-34.36,-15.39
13.44,-30.73,-17.95
13.77,-17.1,-18.13
13.16,-12.45,-18.86
5.27,-27.54,-17.1
0.27,-35.53,-17.31
9.72,-35.64,-18.72
12.44,-26.42,-18.03
15.63,-13.81,-19.27
10.82,-28.82,-17.89
15,-19.82,-18.48
26.05,-18.77,-18.34
27.9,-11.66,-16.49
31.72,-17.43,-17.59
19.87,16.83,-14.9
20.33,-16.01,-13.65
14.01,-3.69,-9.28
24.59,-8.37,-10.65
20.25,-19.9,-12.55
18.11,-13.2,-11.02
17.64,-13.54,-9.76
16.62,-15.02,-10.21
18.85,-20.47,-12.04
22.84,-13.35,-11.21
16.53,-9.39,-9.94
25.25,-8.61,-8.19
22.07,-11.78,-9.3
22.83,-24.87,-11.45
18.33,-27.96,-11.5
19.46,-26.86,-11.7
19.52,-28.23,-13.56
22.53,-29.24,-13.99
21.36,-22.13,-13.12
22.93,-15.55,-12.47
22.92,-10.27,-11.19
27.02,-12.44,-10.21
22.56,-17.56,-9.92
22.74,-7.79,-9.3
17.78,-16.69,-8.81
13.62,-23.5,-9.45
10.4,-25.57,-9.79
10.53,-24.32,-9.85
11.56,-22.81,-10.05
14.86,-22.79,-10.57
10.54,-18.19,-9.65
8.85,-25.42,-9.19
9.66,-24.05,-9.48
10.41,-25.86,-9.89
15.99,-27.49,-9.81
21.99,-23.69,-9.98
21.92,-14.91,-9.5
22.59,-12.48,-8.35
25.07,-17.16,-8.03
24.16,-13.54,-7.65
22.44,-15.36,-7.42
20.01,-18.77,-8.03
19.83,-21.87,-7.93
22.22,-18.29,-8.39
21.63,-18.33,-8.37
23.94,-18.86,-9.37
24.4,-15.52,-9.38
24.79,-17.33,-10.05
25.14,-15.11,-10.31
26.95,-11.25,-9.5
27.23,-10.1,-9.03
24.37,-6.5,-7.91
19.37,-17.52,-8.82
24.99,-21.1,-9.22
22.44,-12.52,-8.22
26.19,-14.4,-9.48
28.71,-12.38,-11.15
25.39,-9.05,-10.48
21.9,-11.34,-9.68
23.8,-17.54,-10.18
24.77,-19.2,-10.99
23.61,-16.7,-10.84
26.86,-19.3,-10.88
27.36,-9.63,-9.38
29.83,-6.99,-8.67
28.97,-9.13,-9.04
27.07,-6.02,-8.58
27.78,-12.96,-9.21
29.86,-16.33,-11.05
28.02,-5.38,-10.28
31.53,-2.01,-8
33.05,2.92,-6.12
34.55,-1.11,-5.05
41.39,-0.5,-5.36
38.1,5.4,-4.92
28.71,2.82,-2.19
36.53,-5.58,-3.07
31.24,-5.49,-2.48
29.13,-10.79,-3.38
27.67,-10.17,-5.2
23.81,-9.71,-5.44
24.61,-13.35,-6.04
25.92,-24.63,-6.93
28.24,-18.13,-7.48
33.8,-5.34,-6.67
29.77,-3.77,-5.84
26.62,-4.64,-3.82
23.72,-14.66,-3.17
21.18,-16.2,-3.49
24.86,-17.93,-4.52
23.31,-18.87,-6.11
26.17,-13.39,-5.75
24.52,-12.62,-5.7
22.08,-12.93,-5.4
20.67,-13.27,-3.95
21.9,-18.42,-3.94
20.49,-21.54,-5.66
17.07,-18.82,-5.54
13.99,-15.85,-5.44
